Airport,LatLong
KBTL,42.3120 -85.2414
KEHO,35.2556 -81.5986
KCLS,46.6770 -122.9827
KCLT,35.2225 -80.9543
KCLK,35.5381 -98.9336
KCLI,44.6153 -88.7313
KCLL,30.5881 -96.3639
KCLM,48.1219 -123.5066
KEHR,37.8065 -87.6823
KCLE,41.4057 -81.8519
KBFI,47.5455 -122.3147
KPAO,37.4611 -122.1151
KOVS,43.1561 -90.6775
KBFM,30.6268 -88.0681
KBFL,35.4344 -119.0542
KVWU,48.1501 -94.5120
KO54,40.7460 -122.9223
KBFF,41.8747 -103.6011
KOVE,39.4944 -121.6222
KOVL,44.7792 -95.0303
KBFW,47.2521 -91.4098
KVOK,43.9392 -90.2532
KBIE,40.3013 -96.7541
K65S,48.7260 -116.2950
KGGW,48.2142 -106.6213
KLNS,40.1206 -76.2945
KLNR,43.2111 -90.1873
KLNP,36.9875 -82.5300
KLNL,46.1514 -89.2108
KLNK,40.8478 -96.7647
KS32,47.4228 -98.1059
KUVA,29.2113 -99.7436
KLNC,32.5832 -96.7209
KSFQ,36.6824 -76.6019
KABE,40.6499 -75.4477
KDFW,32.8974 -97.0220
KABH,38.7578 -104.3013
KABI,32.4113 -99.6819
KSFY,42.0454 -90.1101
KSFZ,41.9208 -71.4914
KABR,45.4436 -98.4138
KJNX,35.5408 -78.3903
KSFF,47.6828 -117.3226
KABQ,35.0417 -106.6147
KFVX,37.3539 -78.4372
KSFB,28.7797 -81.2436
KSFM,43.3939 -70.7080
KABY,31.5365 -84.1957
KJNW,44.5833 -124.0667
KM30,37.1824 -88.7489
KP28,37.2839 -98.5528
K2DP,35.6667 -75.9000
KMDZ,45.1046 -90.3025
K4HV,38.3667 -110.7167
KSTC,45.5442 -94.0516
KSTF,33.4331 -88.8486
K2D5,46.1731 -98.0799
KSTE,44.5437 -89.5347
KSTJ,39.7719 -94.9097
KSTK,40.6133 -103.2611
KSTL,38.7525 -90.3734
KSTS,38.5037 -122.8110
KSTP,44.9324 -93.0559
K01M,34.4917 -88.2011
KODO,31.9206 -102.3867
KMPZ,40.9467 -91.5111
KBHB,44.4498 -68.3616
KBHM,33.5655 -86.7449
KBHK,46.3476 -104.2594
KMPV,44.2035 -72.5623
KTPA,27.9633 -82.5400
KCWA,44.7794 -89.6710
KODX,41.6234 -98.9488
KMPO,41.1382 -75.3797
KILM,34.2706 -77.9026
KPQI,46.6890 -68.0448
KWMC,40.9018 -117.8082
KRRT,48.9318 -95.3405
KK22,37.7510 -82.6367
K1R7,31.6058 -90.4093
KAMG,31.5401 -82.5074
KRMY,42.2524 -84.9525
KTQH,35.9301 -95.0025
KTQE,41.7635 -96.1779
KRMN,38.3981 -77.4555
KRME,43.2338 -75.4070
KRMG,34.3478 -85.1611
KTCS,33.2367 -107.2681
KMBS,43.5281 -84.0813
KOJC,38.8500 -94.7392
KIMT,45.8184 -88.1146
KMBG,45.5464 -100.4078
KTCC,35.1805 -103.6014
KIMM,26.4338 -81.4014
KIML,40.5103 -101.6201
KMBL,44.2714 -86.2377
KTCL,33.2122 -87.6155
KTCM,47.1377 -122.4765
K0F2,33.6011 -97.7735
KGIF,28.0614 -81.7568
KGIC,45.9411 -116.1326
K2V5,40.0993 -102.2431
KGHG,42.0983 -70.6722
KARW,32.4122 -80.6344
KEIK,40.0117 -105.0503
K82V,41.1533 -104.1302
KPIH,42.9203 -112.5711
KPIN,44.5343 -106.8049
KPIL,26.1597 -97.3378
KAFW,32.9733 -97.3181
KPIB,31.4671 -89.3371
KPIA,40.6675 -89.6839
KPIE,27.9126 -82.6855
KTTF,41.9400 -83.4347
KPIR,44.3827 -100.2860
KPIT,40.4814 -80.2083
KFFM,46.2865 -96.1534
KHAI,41.9597 -85.5934
KHAO,39.3612 -84.5206
KHVR,48.5428 -109.7633
KHAF,37.5136 -122.4996
KFFO,39.8261 -84.0483
KHAE,39.7252 -91.4439
KC09,41.4316 -88.4152
KNID,35.6854 -117.6920
KLMT,42.1470 -121.7255
KLMO,40.1611 -105.1604
KNIP,30.2347 -81.6746
KSGU,37.0906 -113.5931
KSGT,34.5995 -91.5750
KSGS,44.8601 -93.0320
KSGR,29.6223 -95.6565
KACK,41.2530 -70.0610
KACJ,32.1108 -84.1888
KDEQ,34.0470 -94.3994
KFQD,35.4282 -81.9351
KDEW,47.9689 -117.4211
KDET,42.4073 -83.0089
KRYY,34.0147 -84.5964
KSGF,37.2457 -93.3886
KDEH,43.2755 -91.7433
KACY,39.4520 -74.5670
KARL,41.6000 -106.2100
KACT,31.6180 -97.2283
KACV,40.9785 -124.1048
KACQ,44.0702 -93.5534
KSGJ,29.9592 -81.3410
KDED,29.0670 -81.2837
KSGH,39.8403 -83.8402
KAQW,42.6973 -73.1696
KAQV,31.4000 -93.2833
KCMA,34.2119 -119.0916
KAQR,34.3983 -96.1481
KAQP,45.2249 -96.0041
KSBO,32.6091 -82.3699
KCMI,40.0324 -88.2755
KCMH,39.9907 -82.8769
KHWO,25.9995 -80.2412
KAFN,42.8067 -72.0013
KHWV,40.8217 -72.8689
KCMR,35.3022 -112.1942
KAQO,30.7873 -98.6608
KHWY,38.5876 -77.7150
KSIB,42.4500 -105.0333
KCMY,43.9581 -90.7397
KCMX,47.1660 -88.4807
KMGG,45.2353 -93.9896
KSIF,36.4372 -79.8510
KDWH,30.0680 -95.5562
KAFJ,40.1365 -80.2902
KBWP,46.2443 -96.6072
KDWX,41.0370 -107.4998
KU28,39.0000 -110.1667
KBWI,39.1733 -76.6840
KBWG,36.9645 -86.4197
KBWD,31.7936 -98.9565
KJRB,40.7012 -74.0090
KLUX,34.5071 -81.9472
K79J,31.3087 -86.3938
KSUN,43.5038 -114.2956
KSUE,44.8394 -87.4219
KSUA,27.1816 -80.2252
KJCT,30.5105 -99.7665
KSUU,38.2667 -121.9500
KSUT,33.9292 -78.0722
KSUW,46.6833 -92.0925
KSUS,38.6572 -90.6558
KBKB,31.0217 -92.9107
KMQY,36.0090 -86.5201
KBKF,39.7133 -104.7581
KOEO,45.3108 -92.6948
KBKE,44.8430 -117.8099
KMQS,39.9790 -75.8655
KOEB,41.9308 -85.0543
KBKN,36.7451 -97.3496
KBKL,41.5173 -81.6832
KBKS,27.2067 -98.1211
KMQI,35.9190 -75.6955
KBKV,28.4739 -82.4537
KBKW,37.7873 -81.1242
KMQB,40.5176 -90.6481
K9L2,34.9908 -117.8631
KMQE,42.2121 -71.1142
KOWP,36.1753 -96.1518
KBYS,35.2805 -116.6300
KVVV,45.3057 -96.4244
KBYY,28.9731 -95.8633
KXFL,29.4674 -81.2063
KOWB,37.7388 -87.1668
KOWA,44.1191 -93.2569
KBYG,44.3812 -106.7195
KOWD,42.1912 -71.1733
KVVG,28.9444 -81.9701
KBYH,35.9643 -89.9439
KBYI,42.5453 -113.7686
KO86,40.9845 -122.6934
KO87,40.0167 -124.0667
KTBR,32.4831 -81.7372
KOKC,35.3886 -97.6003
KOKB,33.2194 -117.3494
KMCW,43.1544 -93.3261
K2G4,39.5827 -79.3418
KTBX,43.4670 -108.2380
KOKK,40.5282 -86.0590
KOKH,48.2515 -122.6737
KOKV,39.1435 -78.1444
KMCC,38.6676 -121.4006
KMCB,31.1784 -90.4719
KMCE,37.2848 -120.5139
KMCD,45.8663 -84.6344
KMCF,27.8493 -82.5212
KMCI,39.2972 -94.7306
KMCK,40.2040 -100.5904
KMCJ,29.7140 -95.3950
KOKZ,32.9667 -82.8382
KMCO,28.4183 -81.3241
KMCN,32.6889 -83.6529
KINF,28.8040 -82.3180
K1A6,36.6106 -83.7374
KIND,39.7252 -86.2816
KGNT,35.1653 -107.9021
KGNV,29.6917 -82.2760
KINL,48.5594 -93.3956
KINJ,32.0843 -97.0958
KINK,31.7801 -103.2018
KINW,35.0280 -110.7220
KINT,36.1335 -80.2244
KGNC,32.6753 -102.6527
KINS,36.5857 -115.6901
KCUL,38.0887 -88.1213
KEXX,35.7811 -80.3038
KHON,44.3852 -98.2286
KPHX,33.4277 -112.0038
KPHD,40.4719 -81.4236
KPHF,37.1322 -76.4940
KOAK,37.7178 -122.2329
K0E0,34.9837 -105.9958
KPHL,39.8733 -75.2268
KPHN,42.9103 -82.5332
KE38,30.3842 -103.6836
K2I0,37.3559 -87.3982
KE33,36.9000 -106.5833
KH21,37.9740 -92.6910
KWRB,32.6401 -83.5918
KWRL,43.9654 -107.9502
KWRI,40.0156 -74.5917
KTPH,38.0505 -117.0904
KTPL,31.1525 -97.4078
KB23,40.6000 -116.8667
KIPT,41.2430 -76.9217
KTPF,27.9152 -82.4518
KIPL,32.8342 -115.5786
KENW,42.5950 -87.9381
KIPJ,35.4833 -81.1612
KARR,41.7713 -88.4815
KARV,45.9264 -89.7307
KFFX,43.4393 -85.9949
KART,43.9888 -76.0262
KFFZ,33.4608 -111.7283
KFFT,38.1847 -84.9033
KCFE,45.1601 -93.8460
KHVN,41.2638 -72.8868
KHVS,34.4031 -80.1192
KFFL,41.0521 -91.9834
KCJR,38.5261 -77.8574
KARA,30.0292 -91.8845
KARG,36.1256 -90.9215
K5SM,39.4256 -107.3792
KFFA,36.0182 -75.6713
KFFC,33.3544 -84.5689
KJDN,47.3258 -106.9475
KBVY,42.5841 -70.9153
KDVN,41.6134 -90.5948
KDVL,48.1142 -98.9088
KDVK,37.5780 -84.7700
KBVS,48.4709 -122.4209
KBVR,42.5833 -108.2833
KBVU,35.9470 -114.8610
KBVI,40.7735 -80.3825
KF46,32.9322 -96.4348
KF44,32.1638 -95.8284
KBVO,36.7664 -96.0129
KBVN,41.7302 -98.0545
KDVT,33.6903 -112.0662
KBVE,29.3333 -89.4075
KDVP,43.9905 -95.7810
KJDD,32.7403 -95.4945
KGRD,34.2487 -82.1591
KGRF,47.0792 -122.5808
KGRB,44.4794 -88.1367
KGRI,40.9611 -98.3136
KGRK,31.0673 -97.8289
KGRR,42.8808 -85.5228
KAUH,40.8941 -97.9946
KDLL,43.5237 -89.7734
KAND,34.4978 -82.7097
KSUX,42.3914 -96.3792
