Airport,LatLong
KDAL,32.8542 -96.8551
KNEW,30.0494 -90.0289
KP53,46.4119 -86.6508
KW22,39.0010 -80.2712
KM89,34.0997 -93.0661
KDAB,29.1735 -81.0719
KW29,38.9767 -76.3300
KP58,44.0219 -82.7931
KDAA,38.7150 -77.1810
KZZV,39.9444 -81.8921
KDAY,39.9061 -84.2186
KDAW,43.2794 -70.9243
KVRB,27.6556 -80.4179
KFVE,47.2855 -68.3127
KTIK,35.4147 -97.3866
KOOA,41.2261 -92.4938
KDZB,30.5271 -98.3588
KMOD,37.6255 -120.9549
KMOB,30.6883 -88.2456
KMOT,48.2520 -101.2689
KMOP,43.6229 -84.7430
KMOX,45.5677 -95.9659
KDFI,41.3357 -84.4285
KCGE,38.5393 -76.0304
KIER,31.7358 -93.0992
K4CR,34.1000 -105.6833
KSFO,37.6196 -122.3656
KITH,42.4908 -76.4583
KPLU,47.1039 -122.2872
KBRX,41.9305 -104.9450
KITR,39.2415 -102.2819
KPLN,45.5644 -84.7929
KLVJ,29.5189 -95.2417
KMLF,38.4225 -113.0109
KSCK,37.8900 -121.2264
KETH,45.7828 -96.5461
KCXY,40.2184 -76.8552
KETB,43.4226 -88.1326
KETC,35.9373 -77.5465
KWDG,36.3792 -97.7911
KHDO,29.3594 -99.1742
KHDN,40.4812 -107.2177
KHDC,30.5208 -90.4175
KHDE,40.4521 -99.3365
KWVI,36.9394 -121.7900
KIOB,38.0575 -83.9829
KWVL,44.5333 -69.6755
KLIT,34.7273 -92.2357
KI16,37.6004 -81.5593
KTLH,30.3935 -84.3513
KD60,48.3810 -102.8980
KLZU,33.9829 -83.9584
KCVS,34.3828 -103.3221
KLZZ,31.1059 -98.1975
KCVX,45.3047 -85.2747
KCVG,39.0446 -84.6723
KCVB,29.3430 -98.8497
KHJO,36.3115 -119.6231
KCVN,34.4227 -103.0802
KCVO,44.4971 -123.2895
KCVH,36.8933 -121.4103
KHJH,40.1493 -97.5872
KAVC,36.6883 -78.0545
KFBG,35.1314 -78.9316
KDRT,29.3742 -100.9272
KAVL,35.4319 -82.5375
KHKS,32.3348 -90.2225
KAVK,36.7732 -98.6699
KDRC,42.8367 -105.8618
KDRA,36.6207 -116.0287
KFBR,41.3941 -110.4059
KAVP,41.3335 -75.7227
KDRI,30.8317 -93.3399
KDRO,37.1431 -107.7602
KF05,34.2257 -99.2837
KIDP,37.1584 -95.7784
KDVO,38.1418 -122.5546
KHKY,35.7422 -81.3822
KTZR,39.9012 -83.1369
KGVL,34.2719 -83.8303
KIDV,43.8989 -106.6390
KRRL,45.1984 -89.7100
KEFT,42.6196 -89.5931
KPBG,44.6509 -73.4681
KPBF,34.1798 -91.9344
K6A1,32.5670 -84.2510
K6A2,33.2270 -84.2750
KGVT,33.0678 -96.0653
KPBI,26.6851 -80.0992
KPBH,45.7064 -90.4052
KT65,26.1775 -97.9731
KT62,40.3167 -112.3000
KCIU,46.2532 -84.4771
K3HT,46.4333 -109.8333
KCRQ,33.1283 -117.2801
KPPO,41.5725 -86.7345
KN60,47.6458 -101.4394
KPPF,37.3278 -95.5042
KPPA,35.6130 -100.9963
KPPQ,39.6391 -90.7818
KCNY,38.7501 -109.7626
KCDC,37.7067 -113.0970
KCDA,44.5691 -72.0180
KLHM,38.9092 -121.3513
KCDJ,39.8233 -93.5792
KHXD,32.2244 -80.6975
KCDH,33.6228 -92.7634
KLHB,30.8721 -96.6222
KCDN,34.2836 -80.5649
KAHQ,41.2406 -96.5946
K9A1,33.6325 -83.8496
KCDR,42.8374 -103.0981
KLHX,38.0495 -103.5133
KAHN,33.9486 -83.3263
KLHZ,36.0229 -78.3341
KCDW,40.8764 -74.2828
KY19,46.7680 -100.8940
KY70,42.9380 -85.0605
KLHQ,39.7556 -82.6571
KULM,44.3227 -94.5024
KLHW,31.8872 -81.5624
KHRT,30.4278 -86.6893
KTIX,28.5148 -80.7992
KLRU,32.2885 -106.9132
KARM,29.2543 -96.1544
KLRJ,42.7748 -96.1924
KEBS,42.4372 -93.8724
KHRL,26.2285 -97.6544
KENV,40.7187 -114.0309
KHND,35.9766 -115.1322
K4BM,39.0503 -105.5144
K4BL,37.6167 -109.4667
KJFX,33.9020 -87.3140
KJFZ,37.0620 -81.7977
KLFK,31.2359 -94.7546
KLFI,37.0829 -76.3605
KLFT,30.2115 -91.9810
K1F0,34.1469 -97.1225
KJFK,40.6392 -73.7639
KBNW,42.0486 -93.8486
KDNN,34.7217 -84.8689
KDNL,33.4669 -82.0384
KDNK,31.1106 -93.1533
KNBT,35.0222 -76.4625
KBNA,36.1189 -86.6892
KDNV,40.2031 -87.5897
KDNS,41.9842 -95.3800
KJVL,42.6213 -89.0419
KCNC,41.0185 -93.3608
KBNL,33.2578 -81.3883
KBNO,43.5949 -118.9579
KWWR,36.4367 -99.5208
K3T5,29.9080 -96.9500
KOPN,32.9539 -84.2594
KWWD,39.0108 -74.9079
KOPL,30.5584 -92.0994
KTKV,45.4680 -89.8096
KTKI,33.1779 -96.5905
KTKC,44.2495 -95.6119
KOLV,34.9787 -89.7869
KOLU,41.4480 -97.3426
KOLS,31.4208 -110.8458
KOLZ,42.6832 -91.9759
KOLY,38.7213 -88.1799
KOLF,48.0945 -105.5751
KOLE,42.2413 -78.3714
KOLM,46.9733 -122.9033
KICT,37.6472 -97.4294
KMHE,43.7748 -98.0386
KICR,43.3906 -99.8422
K3TH,47.6000 -115.3667
KMHK,39.1353 -96.6778
KMHR,38.5600 -121.2840
KMHS,41.3149 -122.3170
KMHT,42.9296 -71.4356
KMHV,35.0594 -118.1519
KICL,40.7242 -95.0222
KEKN,38.8853 -79.8528
KTYR,32.3541 -95.4024
KTYS,35.8180 -83.9857
KTYQ,40.0307 -86.2514
KVAD,30.9791 -83.1925
KROC,43.1167 -77.6767
KGWO,33.4943 -90.0847
KRUE,35.2574 -93.0949
KPAT,42.5587 -106.8474
KRUG,48.3904 -100.0243
KGWB,41.3072 -85.0644
KRUQ,35.6442 -80.5236
KRUT,43.5349 -72.9514
KPAE,47.9233 -122.2831
KGWR,46.2187 -97.6435
KD50,48.9290 -103.2970
KPAN,34.2570 -111.3390
KD57,46.8128 -101.8602
KPAM,30.0644 -85.5637
KRCM,38.7842 -93.8029
KRCA,44.1451 -103.1036
KRCE,35.4881 -97.8236
KRCZ,34.8954 -79.7575
KRCX,45.4935 -90.9985
KGAI,39.1696 -77.1655
KRCR,41.0655 -86.1817
KGAD,33.9726 -86.0891
KGAG,36.2967 -99.7689
KGAF,48.4047 -97.3709
KEUL,43.6405 -116.6302
KEUG,44.1246 -123.2120
KEUF,31.9516 -85.1312
KCYS,41.1579 -104.8081
KJQF,35.3896 -80.7074
KYIP,42.2367 -83.5264
KROS,45.6963 -92.9542
KPWK,42.1208 -87.9047
KPWM,43.6424 -70.3044
KPWA,35.5342 -97.6471
KNGP,27.6926 -97.2911
KPWC,46.7265 -94.3849
KPWG,31.4849 -97.3165
KPWT,47.4903 -122.7648
KLWT,47.0493 -109.4667
KLWV,38.7605 -87.5990
KAIZ,38.1005 -92.5474
KLWS,46.3745 -117.0154
KCEF,42.1940 -72.5348
KCEC,41.7837 -124.2380
KEYF,34.6042 -78.5790
KAIO,41.4059 -95.0465
KAIK,33.6509 -81.6821
KROX,48.8560 -95.6971
KLWB,37.8583 -80.3995
KCEZ,37.3071 -108.6264
KAIG,45.1566 -89.1114
KLWM,42.7126 -71.1255
KCEW,30.7771 -86.5194
KAID,40.1061 -85.6098
KAIB,38.2390 -108.5668
KAIA,42.0572 -102.8000
KEGE,39.6443 -106.9144
KCWV,32.1951 -81.8696
KNUI,38.1460 -76.4285
KLYV,43.6217 -96.2139
KUCP,41.0254 -80.4134
KHIB,47.3804 -92.8324
KCWF,30.2106 -93.1432
KEGV,45.9309 -89.2670
KCWC,33.8606 -98.4904
KLYH,37.3262 -79.2028
KHIE,44.3659 -71.5522
KCWN,38.7500 -104.8500
KNUW,48.3552 -122.6635
KNUQ,37.4059 -122.0490
KCWI,41.8295 -90.3328
KFMM,40.3315 -103.8070
KFMN,36.7436 -108.2293
KFMH,41.6584 -70.5214
KAWG,41.2752 -91.6748
KFME,39.0854 -76.7594
KAWM,35.1351 -90.2344
KAWO,48.1585 -122.1591
KAWN,32.7800 -97.4300
KFMY,26.5849 -81.8615
KDQH,31.4767 -82.8606
KLEB,43.6271 -72.3054
K7R5,29.7800 -93.3000
KLEE,28.8214 -81.8096
K3I2,38.9146 -82.0986
KLEW,44.0485 -70.2835
KGFA,47.5047 -111.1873
KLEX,38.0339 -84.6115
KDMA,32.1667 -110.8833
KBAX,43.7774 -82.9827
KBAZ,29.7086 -98.0453
KDMH,39.2814 -76.6111
KDMN,32.2593 -107.7205
KDMO,38.7074 -93.1759
KBAN,38.3557 -119.5188
KDMW,39.6083 -77.0077
KBAK,39.2619 -85.8963
KBAD,32.5019 -93.6626
KY23,45.3106 -91.6381
KBAF,42.1601 -72.7124
KBAB,39.1361 -121.4366
KBAC,46.9412 -98.0180
KSAA,41.4435 -106.8275
KJWG,35.8628 -98.4225
KSAC,38.5067 -121.4960
KSAD,32.8566 -109.6360
KSAF,35.6110 -106.0957
KSAN,32.7339 -117.1845
KSAR,38.1462 -89.7024
KSAT,29.5337 -98.4698
KSAW,46.3405 -87.3953
KSAV,32.1314 -81.2023
K9BB,41.1167 -114.9667
KRST,43.9042 -92.4917
KSAZ,46.3809 -94.8066
KO22,38.0304 -120.4146
KJWY,32.4603 -96.9107
KSHL,43.2080 -95.8352
K4A9,34.4737 -85.7214
